192.52.178.30 'k.gtld-servers.net'
216.252.166.10 NotFound
8.8.8.8 'dns.google'
8.8.4.4 'dns.google'
200.143.193.86 NotFound
50.116.21.245 'sinkhole3.vsbad.net'
1.1.1.1 'one.one.one.one'
200.19.16.53 58
146.112.255.68 NotFound
205.251.195.193 'ns-961.awsdns-56.net'
153.99.244.253 NotFound
140.174.22.53 NotFound
208.67.222.222 'resolver1.opendns.com'
205.251.198.59 'ns-1595.awsdns-07.co.uk'
205.251.193.20 'ns-276.awsdns-34.com'
216.239.32.108 'ns-cloud-c1.googledomains.com'
45.33.76.225 'sinkhole1.vsbad.net'
186.192.89.5 'ns03.oghost.com.br'
205.251.197.192 'ns-1472.awsdns-56.org'
216.239.32.10 'ns1.google.com'
208.84.4.2 NotFound
185.89.219.11 NotFound
177.53.95.213 '177-53-95-213.tvglobo.com.br'
172.64.33.223 'plato.ns.cloudflare.com'
156.67.234.178 NotFound
201.6.4.72 'c9060448.virtua.com.br'
200.137.53.32 NotFound
129.134.30.11 NotFound
194.146.106.90 'y.dns.eu'
13.107.246.1 NotFound
205.251.199.250 'ns-2042.awsdns-63.co.uk'
200.3.13.11 'ns2.lacnic.net'
40.90.4.225 'ns1-225.azure-dns.com'
201.10.132.18 'ns02-bsa.brasiltelecom.net.br'
114.114.114.114 'public1.114dns.com'
199.7.83.42 'l.root-servers.net'
131.0.24.26 NotFound
150.171.0.2 NotFound
2.16.15.140 'a2-16-15-140.deploy.static.akamaitechnologies.com'
205.251.194.89 'ns-601.awsdns-11.net'
201.16.50.37 NotFound
192.43.172.30 'i.gtld-servers.net'
205.251.194.167 'ns-679.awsdns-20.net'
172.64.33.79 'burt.ns.cloudflare.com'
13.107.252.10 NotFound
186.249.24.34 NotFound
205.251.196.166 'ns-1190.awsdns-20.org'
201.16.50.44 NotFound
201.10.128.2 'BSA-DF-DNS-N01C.brasiltelecom.net.br'
198.41.223.131 'cf-198-41-223-131.cloudflare.com'
18.194.2.137 'ec2-18-194-2-137.eu-central-1.compute.amazonaws.com'
205.251.196.188 'ns-1212.awsdns-23.org'
205.251.194.98 'ns-610.awsdns-12.net'
40.90.4.1 'ns1-01.azure-dns.com'
54.147.161.132 'ec2-54-147-161-132.compute-1.amazonaws.com'
191.101.62.69 NotFound
40.90.4.2 'ns1-02.azure-dns.com'
192.55.83.30 'm.gtld-servers.net'
2.16.15.198 'a2-16-15-198.deploy.static.akamaitechnologies.com'
205.251.197.254 'ns-1534.awsdns-63.org'
205.251.197.217 'ns-1497.awsdns-59.org'
2.16.189.186 'a2-16-189-186.deploy.static.akamaitechnologies.com'
189.9.32.211 'ns3.agu.gov.br'
173.201.78.54 'pdns10.domaincontrol.com'
202.96.104.18 'ns.zjnbptt.net.cn'
45.33.86.112 'sinkhole4.vsbad.net'
59.36.120.143 '143.120.36.59.broad.dg.gd.dynamic.163data.com.cn'
173.245.58.80 'carol.ns.cloudflare.com'
189.9.32.212 'ns4.agu.gov.br'
205.251.197.112 'ns-1392.awsdns-46.org'
204.61.216.50 'u.arin.net'
202.96.96.68 'ns.zjhzptt.net.cn'
216.239.36.10 'ns3.google.com'
118.151.254.148 'gns02.yahoo.co.jp'
18.191.48.161 'ec2-18-191-48-161.us-east-2.compute.amazonaws.com'
3.131.164.163 'ec2-3-131-164-163.us-east-2.compute.amazonaws.com'
13.107.247.10 NotFound
40.90.4.222 'ns1-222.azure-dns.com'
40.90.4.201 'ns1-201.azure-dns.com'
208.78.70.29 'ns1.p29.dynect.net'
38.124.232.194 'wild.pccc.com'
205.251.195.243 'ns-1011.awsdns-62.net'
205.251.199.128 'ns-1920.awsdns-48.co.uk'
58.220.38.254 NotFound
17.253.206.8 'b.gslb.aaplimg.com'
205.251.197.42 'ns-1322.awsdns-37.org'
13.107.160.1 'ns4-01.azure-dns.info'
64.4.48.201 'ns2-201.azure-dns.net'
216.239.32.109 'ns-cloud-d1.googledomains.com'
13.107.136.2 NotFound
205.251.199.134 'ns-1926.awsdns-48.co.uk'
2.16.15.44 'a2-16-15-44.deploy.static.akamaitechnologies.com'
47.89.132.57 NotFound
2.16.189.218 'a2-16-189-218.deploy.static.akamaitechnologies.com'
68.180.131.16 'ns1.yahoo.com'
211.152.139.42 NotFound
208.78.71.29 'ns3.p29.dynect.net'
205.251.195.133 'ns-901.awsdns-48.net'
201.16.50.52 NotFound
23.63.28.158 'a23-63-28-158.deploy.static.akamaitechnologies.com'
69.10.187.199 NotFound
138.36.36.5 '138.36.36.5.ceanet.inf.br'
161.69.29.53 NotFound
64.4.48.205 'ns2-205.azure-dns.net'
143.106.2.74 'mirror-spamhaus.unicamp.br'
51.222.143.104 'vps-18fe7256.vps.ovh.ca'
38.124.232.21 'wild.pccc.com'
18.221.210.194 'ec2-18-221-210-194.us-east-2.compute.amazonaws.com'
185.89.218.11 NotFound
2.16.15.126 'a2-16-15-126.deploy.static.akamaitechnologies.com'
205.251.197.195 'ns-1475.awsdns-56.org'
205.251.194.151 'ns-663.awsdns-18.net'
205.251.198.122 'ns-1658.awsdns-15.co.uk'
205.251.197.208 'ns-1488.awsdns-58.org'
205.251.199.1 'ns-1793.awsdns-32.co.uk'
162.159.24.111 'dns6.gandi.net'
200.143.193.3 'bellana.nc-rj.rnp.br'
200.143.193.33 'virgo.ceo.rnp.br'
13.107.24.1 'ns3-01.azure-dns.org'
13.107.222.32 'ns3-32.azure-dns.org'
104.47.2.8 NotFound
66.201.185.124 NotFound
200.17.137.34 NotFound
47.89.132.27 NotFound
173.245.59.31 NotFound
189.38.95.95 'dns1.gigadns.com.br'
189.38.95.96 'dns2.gigadns.com.br'
200.189.41.10 'b.dns.br'
35.247.207.5 '5.207.247.35.bc.googleusercontent.com'
204.13.251.29 'ns4.p29.dynect.net'
203.195.130.34 NotFound
138.36.37.250 'ns2.ceanet.inf.br'
192.41.162.30 'l.gtld-servers.net'
213.130.47.22 'auth24.ns.gin.ntt.net'
216.239.36.108 'ns-cloud-c3.googledomains.com'
13.107.42.1 NotFound
192.112.36.4 'G.ROOT-SERVERS.NET'
192.26.92.30 'c.gtld-servers.net'
216.239.34.10 'ns2.google.com'
205.251.197.227 'ns-1507.awsdns-60.org'
2.16.15.101 'a2-16-15-101.deploy.static.akamaitechnologies.com'
172.64.32.142 'roxy.ns.cloudflare.com'
13.107.24.205 'ns3-205.azure-dns.org'
173.255.245.98 'sinkhole2.vsbad.net'
205.251.198.126 'ns-1662.awsdns-15.co.uk'
205.251.194.154 'ns-666.awsdns-19.net'
18.188.208.171 'ec2-18-188-208-171.us-east-2.compute.amazonaws.com'
192.228.79.201 'b-2016.b.root-servers.net'
112.84.131.171 NotFound
205.251.199.38 'ns-1830.awsdns-36.co.uk'
192.0.32.252 'gtm1.lax.icann.org'
216.239.34.108 'ns-cloud-c2.googledomains.com'
192.82.134.30 'av4.nstld.com'
13.107.160.205 'ns4-205.azure-dns.info'
200.17.137.37 NotFound
205.251.194.87 'ns-599.awsdns-10.net'
205.251.199.114 'ns-1906.awsdns-46.co.uk'
204.19.119.1 'c.ns.apple.com'
205.251.195.215 'ns-983.awsdns-58.net'
205.251.192.116 'ns-116.awsdns-14.com'
13.107.3.1 NotFound
208.67.220.220 'resolver2.opendns.com'
205.251.199.80 'ns-1872.awsdns-42.co.uk'
131.253.33.2 'ns2.dc-msedge.net'
205.251.196.12 'ns-1036.awsdns-01.org'
23.235.32.32 NotFound
150.171.16.32 'ns2-32.azure-dns.net'
162.159.10.128 NotFound
167.114.16.113 'ogjmmduxmgyy.dczagencia.envios.al'
205.251.197.82 'ns-1362.awsdns-42.org'
104.156.80.32 NotFound
138.121.69.161 NotFound
213.130.44.253 'ns0.eu.dedicatedserver.com'
205.251.195.77 'ns-845.awsdns-41.net'
104.156.84.32 NotFound
205.251.195.64 'ns-832.awsdns-40.net'
37.228.109.145 'nic2.opera.no'
201.49.144.168 'dns1.radiojustica.jus.br'
162.159.24.35 NotFound
157.7.225.68 'ns-a1.conoha.io'
208.67.220.123 'resolver2-fs.opendns.com'
13.107.24.201 'ns3-201.azure-dns.org'
205.251.199.243 'ns-2035.awsdns-62.co.uk'
202.96.103.36 'dns-noc.zjhzptt.net.cn'
192.48.79.30 'j.gtld-servers.net'
189.9.7.73 NotFound
167.114.16.115 'ztqxyzhlzjzh.dczagencia.envios.al'
64.4.48.2 'ns2-02.azure-dns.net'
13.107.6.2 NotFound
201.48.198.5 'dns1.correios.com.br'
13.107.160.201 'ns4-201.azure-dns.info'
205.251.196.215 'ns-1239.awsdns-26.org'
162.159.3.11 'ns6.cloudflare.com'
150.171.254.2 NotFound
54.201.152.196 'ec2-54-201-152-196.us-west-2.compute.amazonaws.com'
216.239.38.10 'ns4.google.com'
107.167.110.153 'a29-04-06.opera.technology'
40.90.4.4 'ns1-04.azure-dns.com'
205.251.193.13 'ns-269.awsdns-33.com'
205.251.196.101 'ns-1125.awsdns-12.org'
35.174.165.68 'ec2-35-174-165-68.compute-1.amazonaws.com'
150.171.10.32 'ns1-32.azure-dns.com'
129.211.176.212 NotFound
205.251.196.107 'ns-1131.awsdns-13.org'
40.90.4.6 'ns1-06.azure-dns.com'
196.216.169.10 'c.in-addr-servers.arpa'
150.171.16.38 'ns2-38.azure-dns.net'
205.251.199.253 'ns-2045.awsdns-63.co.uk'
162.159.11.186 NotFound
178.63.120.205 'ntpnue2.ntppool.net'
201.10.132.26 NotFound
205.251.195.19 'ns-787.awsdns-34.net'
17.253.207.1 'b.ns.apple.com'
205.251.199.222 'ns-2014.awsdns-59.co.uk'
205.251.194.217 'ns-729.awsdns-27.net'
198.7.29.6 'ns4.edgecastdns.net'
201.6.4.61 'c906043d.virtua.com.br'
103.83.123.78 NotFound
51.68.151.230 'ogq2ngq1zmvi.semprenaluta.repassforus.al'
51.68.151.232 'gdtywq-232-151-68-51.achanceagora.com.br'
201.6.4.15 'c906040f.virtua.com.br'
205.251.194.27 'ns-539.awsdns-03.net'
205.251.194.199 'ns-711.awsdns-24.net'
205.251.195.8 'ns-776.awsdns-33.net'
157.185.173.73 NotFound
192.12.94.30 'e.gtld-servers.net'
13.107.244.2 NotFound
201.6.4.17 'c9060411.virtua.com.br'
143.166.83.6 'pc1gtm02.us.dell.com'
205.251.194.3 'ns-515.awsdns-00.net'
192.16.16.6 'ns2.edgecastdns.net'
64.4.48.6 'ns2-06.azure-dns.net'
23.235.36.32 NotFound
177.10.248.21 'ns2.as262274.net.br'
13.107.160.4 'ns4-04.azure-dns.info'
192.54.112.30 'h.gtld-servers.net'
205.251.198.198 'ns-1734.awsdns-24.co.uk'
205.251.197.121 'ns-1401.awsdns-47.org'
205.251.198.80 'ns-1616.awsdns-10.co.uk'
204.26.57.1 'd.ns.apple.com'
205.251.196.8 'ns-1032.awsdns-01.org'
68.180.130.15 'yf2.yahoo.com'
205.251.196.252 'ns-1276.awsdns-31.org'
201.16.50.39 NotFound
173.245.59.167 'george.ns.cloudflare.com'
13.107.6.1 NotFound
177.124.172.13 'ns2.mottanet.net.br'
143.166.82.252 'ns2.us.dell.com.ltg.info'
198.41.0.4 'a.root-servers.net'
205.251.194.236 'ns-748.awsdns-29.net'
199.9.14.201 'b.root-servers.net'
196.3.96.69 'oceano.uem.mz'
162.159.6.6 'ns7.cloudflare.com'
162.159.5.6 'ns6.cloudflare.com'
178.162.193.109 'ap5.adplayer.pro'
162.159.2.9 'ns5.cloudflare.com'
205.251.196.122 'ns-1146.awsdns-15.org'
205.251.194.104 'ns-616.awsdns-13.net'
205.251.199.153 'ns-1945.awsdns-51.co.uk'
162.159.9.55 'ns5.cloudflare.com'
177.37.220.26 'brisa-177.37.220-26.brisanet.com.br'
13.107.160.6 'ns4-06.azure-dns.info'
208.72.192.156 'ip-208-72-192-156.bittorrent.com'
213.251.188.130 'dns11.ovh.net'
124.83.255.100 'gns12.yahoo.co.jp'
220.243.245.5 NotFound
172.64.32.147 'vera.ns.cloudflare.com'
217.70.187.11 'ns-10-c.gandi.net'
186.192.89.18 '186-192-89-18.prt.globo.com'
13.107.4.2 NotFound
138.97.64.93 'ns1.westlink.net.br'
3.92.64.194 'ec2-3-92-64-194.compute-1.amazonaws.com'
177.10.248.19 'ns1.as262274.net.br'
15.72.96.180 'ns1.hp.com'
108.162.192.124 'kate.ns.cloudflare.com'
108.162.192.66 'april.ns.cloudflare.com'
108.162.192.158 'gene.ns.cloudflare.com'
205.251.195.45 'ns-813.awsdns-37.net'
205.251.195.166 'ns-934.awsdns-52.net'
205.251.194.218 'ns-730.awsdns-27.net'
143.166.224.9 'ps3gtm01.us.dell.com'
200.219.154.10 'd.dns.br'
173.245.58.221 'sharon.ns.cloudflare.com'
172.64.35.11 'keenan.ns.cloudflare.com'
77.74.183.10 NotFound
201.16.50.36 NotFound
13.107.206.32 'ns4-32.azure-dns.info'
205.251.194.133 'ns-645.awsdns-16.net'
81.28.224.2 'ns1.variomedia.de'
200.3.13.14 'ns3.lacnic.net'
196.3.96.66 'dzowo.uem.mz'
205.251.192.63 'ns-63.awsdns-07.com'
177.73.96.130 'ns1.dipelnetfoz.com.br'
186.209.96.11 'ns2.cinte.com.br'
192.42.93.30 'g.gtld-servers.net'
150.171.10.38 'ns1-38.azure-dns.com'
64.4.48.1 'ns2-01.azure-dns.net'
13.107.160.3 'ns4-03.azure-dns.info'
173.245.59.98 'darl.ns.cloudflare.com'
205.251.198.38 'ns-1574.awsdns-04.co.uk'
3.139.224.14 'ec2-3-139-224-14.us-east-2.compute.amazonaws.com'
208.80.125.2 'ns3.dnsmadeeasy.com'
