164.41.118.4 dione.unb.br
200.168.137.4 200-168-137-4.dsl.telesp.net.br
200.148.23.9 200-148-23-9.dsl.telesp.net.br
179.191.167.18 NotFound
179.191.167.21 NotFound
200.153.149.41 200-153-149-41.dsl.telesp.net.br
179.191.182.13 NotFound
200.153.149.39 200-153-149-39.dsl.telesp.net.br
200.168.137.38 200-168-137-38.dsl.telesp.net.br
200.158.87.101 200-158-87-101.dsl.telesp.net.br
179.191.182.17 NotFound
200.248.78.99 NotFound
200.179.70.50 NotFound
168.181.22.66 66.22.in.opencdn.nic.br
179.191.167.16 NotFound
179.191.167.20 NotFound
177.8.81.160 NotFound
179.191.167.17 NotFound
177.8.80.160 NotFound
200.178.1.226 NotFound
200.158.87.105 200-158-87-105.dsl.telesp.net.br
217.79.244.5 217-79-244-5.static.hvvc.us
164.41.118.46 NotFound
179.191.170.18 NotFound
179.191.170.95 NotFound
45.238.96.34 NotFound
179.191.170.91 NotFound
200.153.149.100 200-153-149-100.dsl.telesp.net.br
179.191.170.90 NotFound
200.130.5.3 NotFound
200.222.53.8 ARC-RJ-DNS-N05R.telemar.net.br
200.153.149.37 200-153-149-37.dsl.telesp.net.br
179.191.170.93 NotFound
179.191.170.17 NotFound
179.191.167.13 NotFound
201.95.254.130 201-95-254-130.dsl.telesp.net.br
200.55.243.51 NotFound
179.191.182.18 NotFound
179.191.182.19 NotFound
200.130.9.199 NotFound
38.122.207.10 NotFound
200.130.1.38 NotFound
191.251.197.60 191.251.197.60.dynamic.adsl.gvt.net.br
200.130.1.33 NotFound
179.191.170.96 NotFound
38.140.164.122 NotFound
179.191.167.15 NotFound
38.142.181.242 NotFound
179.191.182.14 NotFound
177.8.81.231 NotFound
200.222.123.252 MPI-MG-DNS-N01R.telemar.net.br
186.211.109.163 186-211-109-163.gegnet.com.br
179.191.182.16 NotFound
201.174.218.66 201-174-218-66.transtelco.net
200.17.1.1 NotFound
200.130.17.1 NotFound
191.36.236.254 NotFound
200.222.122.187 ARC-RJ-DNS-N02R.telemar.net.br
179.191.182.20 NotFound
200.130.35.178 NotFound
200.155.60.243 200-155-60-243.sercomtel.com.br
200.158.87.100 200-158-87-100.dsl.telesp.net.br
179.191.170.94 NotFound
200.148.23.4 200-148-23-4.dsl.telesp.net.br
200.168.137.5 200-168-137-5.dsl.telesp.net.br
200.158.87.106 200-158-87-106.dsl.telesp.net.br
201.10.132.3 NotFound
179.191.182.15 NotFound
200.168.137.10 200-168-137-10.dsl.telesp.net.br
179.191.170.89 NotFound
200.130.7.254 NotFound
179.191.167.14 NotFound
200.148.23.10 200-148-23-10.dsl.telesp.net.br
179.191.175.11 NotFound
23.111.185.226 23-111-185-226.static.hvvc.us
201.10.132.4 NotFound
177.8.80.231 NotFound
200.130.106.168 NotFound
200.130.18.131 acessovpn.capes.gov.br
170.247.42.242 170-247-42-242.westlink.net.br
38.104.223.26 NotFound
152.255.15.5 152-255-15-5.user.vivozap.com.br
179.191.170.92 NotFound
187.58.243.109 gvt-host.gvt.net.br
200.130.11.91 ns3.fiocruz.br
186.200.181.42 186-200-181-42.customer.tdatabrasil.net.br
189.17.134.84 NotFound
200.130.148.253 NotFound
179.191.167.19 NotFound
200.153.149.103 200-153-149-103.dsl.telesp.net.br
189.4.5.66 bd040542.ctb.static.virtua.com.br
38.140.35.250 NotFound
200.169.117.229 200-169-117-229.claro.net.br
200.160.100.193 c8a064c1.virtua.com.br
201.10.124.1 NotFound
189.17.134.85 NotFound
179.191.175.11 NotFound
179.191.176.72 NotFound
187.58.243.109 gvt-host.gvt.net.br
200.19.119.122 monipe-df-atraso.rnp.br
201.10.124.3 NotFound
186.215.155.254 186.215.155.254.static.host.gvt.net.br
164.41.101.4 dns4.unb.br
201.174.218.66 201-174-218-66.transtelco.net
167.249.160.18 167-249-160-18.hcneti.net.br
200.222.126.7 IGAW-BA-DNS-N02R.telemar.net.br
200.222.126.6 IGAW-BA-DNS-N01R.telemar.net.br
194.126.175.194 194-126-175-194.static.hvvc.us
179.191.175.12 NotFound
201.10.132.5 NotFound
200.169.117.228 200-169-117-228.claro.net.br
200.130.24.200 dns.inep.gov.br
186.207.164.65 bacfa441.virtua.com.br
200.169.116.213 200-169-116-213.claro.net.br
200.222.126.8 IGAW-BA-DNS-N03R.telemar.net.br
200.129.250.7 NotFound
200.160.100.192 c8a064c0.virtua.com.br
200.214.126.132 NotFound
179.191.164.12 NotFound
200.214.126.133 NotFound
200.187.83.131 aascqo.faster.net.br
177.8.81.233 dns2.eb.mil.br
10.31.0.88 NotFound
10.53.2.5 NotFound
189.23.119.123 NotFound
179.191.164.12 NotFound
200.169.118.229 200-169-118-229.claro.net.br
200.11.14.194 200-11-14-194.primatectelecom.com.br
50.116.13.141 li471-141.members.linode.com
200.130.17.1 NotFound
179.191.175.12 NotFound
189.5.55.0 bd053700.virtua.com.br
200.169.119.228 200-169-119-228.claro.net.br
189.5.55.1 bd053701.virtua.com.br
189.20.59.2 189-20-59-2.customer.tdatabrasil.net.br
200.169.116.214 200-169-116-214.claro.net.br
200.17.5.10 NotFound
200.130.146.1 NotFound
201.10.4.2 NotFound
200.130.56.212 NotFound
177.79.237.5 ip-177-79-237-5.user.vivozap.com.br
200.202.143.1 caliandra.cpac.embrapa.br
189.4.5.66 bd040542.ctb.static.virtua.com.br
200.130.3.129 hde.mec.gov.br
50.116.13.141 li471-141.members.linode.com
191.234.144.75 NotFound
191.233.200.97 NotFound
191.234.144.75 NotFound
199.168.91.45 ns43.deteque.net
200.130.147.253 NotFound
201.10.4.3 NotFound
152.255.15.26 152-255-15-26.user.vivozap.com.br
191.233.200.97 NotFound
168.228.36.2 168-228-36-2.twtelecom.com.br
159.138.80.12 ecs-159-138-80-12.compute.hwclouds-dns.com
191.233.200.77 NotFound
170.245.92.44 host-44.voob.net.br.92.245.170.in-addr.arpa
200.130.18.192 cocker.capes.gov.br
169.239.132.195 azion.ipworld.network
191.233.200.77 NotFound
201.10.4.4 NotFound
200.168.137.69 200-168-137-69.dsl.telesp.net.br
152.255.15.16 152-255-15-16.user.vivozap.com.br
199.168.91.45 ns43.deteque.net
152.255.15.12 152-255-15-12.user.vivozap.com.br
177.222.248.3 dns1.giganetbandalarga.com.br
200.169.118.228 200-169-118-228.claro.net.br
200.130.56.1 vpn.epl.gov.br
200.130.19.88 NotFound
189.16.204.69 NotFound
131.161.24.98 131.161.24-98.starttelecom.net.br
189.5.55.64 bd053740.virtua.com.br
200.174.180.197 NotFound
200.17.1.1 NotFound
200.202.165.204 uba.cenargen.embrapa.br
200.174.180.196 NotFound
179.191.191.30 NotFound
177.79.238.6 ip-177-79-238-6.user.vivozap.com.br
200.19.119.92 treina2.pop-df.rnp.br
179.191.175.11 NotFound
67.231.208.171 pub-cdns7-wlfdle-eth1.rpub.net.rogers.com
186.207.164.64 bacfa440.virtua.com.br
189.5.55.65 bd053741.virtua.com.br
186.207.164.64 bacfa440.virtua.com.br
172.17.248.135 NotFound
172.17.248.135 NotFound
170.0.81.122 NotFound
10.31.0.89 NotFound
58.250.10.141 NotFound
189.5.55.64 bd053740.virtua.com.br
200.137.136.130 NotFound
189.63.249.1 bd3ff901.virtua.com.br
189.5.55.65 bd053741.virtua.com.br
177.207.223.227 177.207.223.227.dynamic.adsl.gvt.net.br
189.5.55.64 bd053740.virtua.com.br
51.15.234.132 132-234-15-51.instances.scw.cloud
200.130.2.197 dns1.mec.gov.br
189.5.55.65 bd053741.virtua.com.br
208.113.201.25 ip-208-113-201-25.dreamhost.com
200.130.11.66 NotFound
177.8.90.240 NotFound
191.234.145.76 NotFound
192.172.226.134 indy.caida.org
200.130.16.5 NotFound
200.255.125.211 wks11.rjo.embratel.net.br
179.191.164.11 NotFound
201.10.124.2 NotFound
191.234.145.76 NotFound
179.190.17.4 edg-cpw-act001.infra.azion.net
177.8.80.142 NotFound
200.130.147.253 NotFound
200.130.56.19 NotFound
179.191.164.11 NotFound
184.105.143.152 184-105-143-152.shadowserver.org
208.113.201.28 ip-208-113-201-28.dreamhost.com
138.121.34.194 static-194.34.121.138.gnetinfo.com.br
177.12.169.100 dns-01-gigadns.uni5.net
177.79.238.9 ip-177-79-238-9.user.vivozap.com.br
74.63.17.247 res210.iad.rrdns.pch.net
177.12.169.101 dns-02-gigadns.uni5.net
114.119.176.145 ecs-114-119-176-145.compute.hwclouds-dns.com
114.119.176.141 ecs-114-119-176-141.compute.hwclouds-dns.com
74.63.28.238 NotFound
18.228.172.214 ec2-18-228-172-214.sa-east-1.compute.amazonaws.com
189.34.131.65 bd228341.virtua.com.br
191.234.145.79 NotFound
200.202.167.17 aroeira.cnpae.embrapa.br
200.202.142.31 pepino.cnph.embrapa.br
189.34.131.64 bd228340.virtua.com.br
200.189.80.110 NotFound
69.163.136.107 ip-69-163-136-107.dreamhost.com
200.148.23.68 200-148-23-68.dsl.telesp.net.br
189.2.42.165 NotFound
177.79.239.8 ip-177-79-239-8.user.vivozap.com.br
54.233.231.162 ec2-54-233-231-162.sa-east-1.compute.amazonaws.com
200.169.119.229 200-169-119-229.claro.net.br
169.239.132.195 azion.ipworld.network
200.130.5.3 NotFound
179.191.191.5 NotFound
179.191.175.12 NotFound
187.19.144.250 NotFound
191.234.145.79 NotFound
184.94.241.116 NotFound
114.119.176.150 ecs-114-119-176-150.compute.hwclouds-dns.com
200.130.27.2 srvdns.cgee.org.br
191.233.200.74 NotFound
179.178.54.78 NotFound
200.169.116.229 200-169-116-229.claro.net.br
191.233.200.99 NotFound
177.207.223.228 177.207.223.228.dynamic.adsl.gvt.net.br
200.130.11.152 NotFound
179.184.77.68 179.184.77.68.static.adsl.gvt.net.br
208.113.201.26 ip-208-113-201-26.dreamhost.com
200.148.23.70 200-148-23-70.dsl.telesp.net.br
200.182.86.229 NotFound
200.130.1.65 NotFound
18.229.162.84 ec2-18-229-162-84.sa-east-1.compute.amazonaws.com
208.80.194.123 static-208-80-194-123.as13448.com
191.235.80.33 NotFound
200.130.10.3 NotFound
191.233.200.74 NotFound
200.139.197.50 NotFound
200.130.2.197 dns1.mec.gov.br
191.234.144.74 NotFound
114.119.176.131 ecs-114-119-176-131.compute.hwclouds-dns.com
37.48.116.50 anl.dnsworker.net
191.234.144.74 NotFound
52.67.4.250 ec2-52-67-4-250.sa-east-1.compute.amazonaws.com
159.203.36.242 NotFound
191.233.200.99 NotFound
191.232.232.224 NotFound
200.130.56.13 ns1.epl.gov.br
146.112.133.18 m6.compute.sao1.edc.strln.net
191.233.200.103 NotFound
